55.0	37.0	74.0	51.0	64.0	43.0	26.0	49.0	45.0	63.0
-1.0	12.0	4.0	-2.0	12.0	-11.0	20.0	29.0	26.0	5.0
-28.0	32.0	-2.0	4.0	-2.0	-25.0	11.0	3.0	6.0	1.0
14.0	15.0	-37.0	-19.0	-7.0	-12.0	4.0	-1.0	13.0	-9.0
3.0	-27.0	8.0	4.0	-7.0	19.0	22.0	-13.0	-17.0	2.0
4.0	-1.0	5.0	-5.0	1.0	2.0	0.0	-9.0	-6.0	-10.0
1.0	0.0	5.0	6.0	4.0	1.0	6.0	18.0	17.0	-9.0
69.0	71.0	77.0	78.0	73.0	72.0	82.0	76.0	93.0	55.0
24.0	55.0	33.0	42.0	21.0	32.0	19.0	28.0	21.0	28.0
14.0	0.0	6.0	3.0	21.0	8.0	8.0	1.0	4.0	-18.0
-16.0	17.0	-18.0	18.0	5.0	2.0	6.0	-11.0	7.0	5.0
8.0	7.0	7.0	6.0	17.0	1.0	-11.0	32.0	7.0	15.0
8.0	4.0	-8.0	-2.0	1.0	4.0	13.0	0.0	0.0	18.0
10.0	-14.0	-11.0	2.0	1.0	33.0	6.0	8.0	-6.0	0.0
3.0	-53.0	0.0	0.0	-2.0	-5.0	15.0	-26.0	-4.0	-4.0
24.0	-33.0	0.0	-3.0	3.0	3.0	3.0	14.0	21.0	-17.0
-13.0	-24.0	18.0	33.0	0.0	-18.0	-12.0	14.0	0.0	-7.0
2.0	7.0	0.0	-24.0	-2.0	12.0	-14.0	-14.0	7.0	-12.0
2.0	7.0	9.0	10.0	23.0	8.0	0.0	1.0	12.0	9.0
12.0	4.0	-2.0	53.0	0.0	16.0	-2.0	-2.0	33.0	-14.0
75.0	85.0	57.0	77.0	76.0	126.0	47.0	63.0	70.0	70.0
11.0	-30.0	22.0	-9.0	-27.0	31.0	-7.0	11.0	-35.0	-25.0
-8.0	13.0	3.0	8.0	36.0	2.0	2.0	9.0	5.0	10.0
2.0	0.0	-32.0	10.0	18.0	0.0	2.0	-16.0	9.0	-2.0
-8.0	-7.0	-4.0	10.0	3.0	9.0	-6.0	-3.0	14.0	-42.0
11.0	29.0	23.0	12.0	28.0	7.0	17.0	19.0	46.0	22.0
-3.0	0.0	-6.0	35.0	-1.0	-16.0	31.0	15.0	0.0	-25.0
11.0	15.0	3.0	-4.0	19.0	-32.0	-4.0	-3.0	10.0	-46.0
5.0	3.0	0.0	-14.0	-10.0	4.0	-20.0	-18.0	0.0	1.0
-25.0	8.0	-5.0	-5.0	12.0	4.0	16.0	31.0	11.0	54.0
0.0	0.0	0.0	2.0	9.0	-2.0	0.0	7.0	3.0	4.0
27.0	34.0	65.0	13.0	35.0	28.0	22.0	59.0	13.0	20.0
19.0	6.0	8.0	12.0	28.0	11.0	25.0	5.0	17.0	28.0
-7.0	13.0	5.0	9.0	13.0	6.0	6.0	0.0	-6.0	-7.0
31.0	50.0	68.0	38.0	51.0	32.0	54.0	43.0	38.0	40.0
